,num_accelerators,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime
0,12.0,1.1100596189498901,1.098572015762329,1.2407681941986084,1.1077595353126526,1.1118370294570923
1,16.0,1.9804030656814575,1.9675288200378418,2.000424861907959,1.975338876247406,1.9894456267356873
2,20.0,3.186997890472412,3.13434100151062,3.22847580909729,3.1797948479652405,3.19047349691391
3,24.0,4.320132493972778,4.286781311035156,4.371458053588867,4.3079991936683655,4.338861286640167
4,28.0,4.3578513860702515,4.305679082870483,4.481822967529297,4.33429342508316,4.398405134677887
5,32.0,5.630787968635559,5.601766109466553,5.77623438835144,5.607233285903931,5.654864549636841
6,36.0,6.9600303173065186,6.94870400428772,7.78175687789917,6.955556750297546,7.059975028038025
7,40.0,8.894368052482605,8.789614200592041,9.163165092468262,8.865125358104706,8.929794073104858
8,44.0,13.04436206817627,12.956427097320557,13.1559419631958,13.01407927274704,13.073585569858551
9,48.0,18.87642753124237,18.808938026428223,18.995485067367554,18.87179923057556,18.9040549993515
10,52.0,15.190885543823242,14.995903968811035,15.548506736755371,15.1663036942482,15.278124988079071
11,56.0,13.599289536476135,13.487676858901978,13.738636016845703,13.54809159040451,13.679284691810608
12,60.0,17.388197898864746,17.22798800468445,17.778432846069336,17.280429899692535,17.46460062265396
13,64.0,18.842994451522827,18.66416907310486,19.044249057769775,18.7990003824234,18.88428646326065
14,68.0,16.31682598590851,16.230180263519287,16.42681074142456,16.276985943317413,16.384140729904175
15,72.0,11.945512533187866,11.799093008041382,12.779246091842651,11.900381207466125,11.998717665672302
16,76.0,21.224148392677307,21.032994747161865,21.51166272163391,21.1309015750885,21.409418523311615
17,80.0,22.17061758041382,21.978652954101562,22.396240949630737,22.08529305458069,22.27854025363922
18,84.0,22.50496745109558,22.258901119232178,22.536185026168823,22.360656201839447,22.532830119132996
19,88.0,24.05539047718048,23.759090185165405,24.259055137634277,23.95991051197052,24.133215606212616
20,92.0,26.090592861175537,25.877163887023926,26.427393674850464,25.991183757781982,26.244594514369965
21,96.0,29.543731093406677,29.387444972991943,29.974406003952026,29.50371253490448,29.628858745098114
