,num_accelerators,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime,mean_runtime,clm_lower,clm_upper
0,10.0,1.4801255464553833,1.0857348442077637,1.9640121459960938,1.3474221229553223,1.6526453495025635,1.5151387214660645,1.3970184591040367,1.6332589838280924
1,20.0,4.803421854972839,3.631993293762207,5.726563215255737,4.391060769557953,5.015681445598602,4.692809844017029,4.4470077658991025,4.938611922134956
2,30.0,10.241926550865173,7.470196962356567,11.767231941223145,9.263964772224426,11.144810914993286,10.126073527336121,9.543449137012194,10.708697917660048
3,40.0,14.455191493034363,10.466243743896484,17.069902896881104,13.289172947406769,16.393183529376984,14.411126673221588,13.467618633184474,15.354634713258703
4,50.0,23.825947165489197,15.244816064834595,28.446949005126953,21.63839042186737,25.26775872707367,23.25019838809967,21.760435723803965,24.739961052395373
5,60.0,34.44799208641052,26.52773094177246,40.05200815200806,30.874163806438446,37.05648744106293,34.04866923093796,32.133032120581326,35.964306341294595
6,70.0,45.906917452812195,40.06351613998413,66.77862882614136,43.33156627416611,52.47514432668686,48.46054708957672,44.96576847118283,51.955325707970616
7,80.0,53.37740111351013,33.93084001541138,75.84275102615356,51.552339136600494,58.20729261636734,54.546643424034116,50.83829907436221,58.25498777370602
8,90.0,66.59599983692169,48.45570182800293,98.59589290618896,61.768439054489136,73.97663849592209,69.54592269659042,63.700832819417876,75.39101257376298
9,100.0,71.64676690101624,54.73710799217224,104.82014608383179,66.65656745433807,80.9491925239563,73.90092483758926,67.709536687381,80.09231298779751
