,num_accelerators,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime
0,12.0,1.1100596189498900,1.098572015762330,1.2407681941986100,1.1077595353126500,1.1118370294570900
1,16.0,1.9804030656814600,1.9675288200378400,2.000424861907960,1.975338876247410,1.9894456267356900
2,20.0,3.186997890472410,3.13434100151062,3.22847580909729,3.1797948479652400,3.19047349691391
3,24.0,4.320132493972780,4.286781311035160,4.371458053588870,4.3079991936683700,4.338861286640170
4,28.0,4.3578513860702500,4.305679082870480,4.481822967529300,4.33429342508316,4.398405134677890
5,32.0,5.630787968635560,5.601766109466550,5.77623438835144,5.607233285903930,5.654864549636840
6,36.0,6.9600303173065200,6.94870400428772,7.78175687789917,6.955556750297550,7.059975028038030
7,40.0,8.894368052482610,8.789614200592040,9.163165092468260,8.865125358104710,8.929794073104860
8,44.0,13.04436206817630,12.956427097320600,13.1559419631958,13.01407927274700,13.073585569858600
9,48.0,18.87642753124240,18.808938026428200,18.995485067367600,18.87179923057560,18.9040549993515
10,52.0,15.190885543823200,14.995903968811000,15.548506736755400,15.1663036942482,15.278124988079100
11,56.0,13.599289536476100,13.487676858902000,13.738636016845700,13.54809159040450,13.679284691810600
12,60.0,17.388197898864700,17.22798800468450,17.778432846069300,17.280429899692500,17.46460062265400
13,64.0,18.842994451522800,18.66416907310490,19.044249057769800,18.7990003824234,18.88428646326070
14,68.0,16.31682598590850,16.230180263519300,16.42681074142460,16.276985943317400,16.384140729904200
15,72.0,11.945512533187900,11.799093008041400,12.779246091842700,11.900381207466100,11.998717665672300
16,76.0,21.224148392677300,21.032994747161900,21.51166272163390,21.1309015750885,21.409418523311600
17,80.0,22.17061758041380,21.978652954101600,22.396240949630700,22.08529305458070,22.27854025363920
18,84.0,22.50496745109560,22.258901119232200,22.536185026168800,22.360656201839400,22.532830119133000
19,88.0,24.05539047718050,23.759090185165400,24.259055137634300,23.95991051197050,24.133215606212600
20,92.0,26.090592861175500,25.877163887023900,26.427393674850500,25.991183757782000,26.244594514370000
21,96.0,29.543731093406700,29.387444972991900,29.974406003952000,29.50371253490450,29.628858745098100
22,100.0,32.48231554031370,31.98428702354430,33.65463709831240,32.43449580669400,32.88474154472350
23,140.0,41.40122902393340,41.05417799949650,43.00958704948430,41.20782673358920,42.03988581895830
24,160.0,54.97187685966490,54.42866611480710,57.227120876312300,54.56599009037020,56.564439952373500
25,200.0,99.14786565303800,96.72765898704530,102.06493711471600,98.18198871612550,100.47161620855300
26,240.0,146.67525255680100,141.2402880191800,148.513286113739,146.4084889292720,147.19601780176200
