Model,Platform,Trials,Batch size,50th pct,90th pct,Average,Min,Max
models/resnest14.onnx,onnxruntime,100,1,0.020641088485717773,0.021038055419921875,0.020727953910827636,0.020399093627929688,0.02255702018737793
models/resnest14.onnx,onnxruntime,100,2,0.05055999755859375,0.050919294357299805,0.050713708400726316,0.05026102066040039,0.0556788444519043
models/resnest14.onnx,onnxruntime,100,4,0.07684779167175293,0.07797980308532715,0.07718567132949829,0.07672309875488281,0.08511519432067871
models/resnest14.onnx,onnxruntime,100,8,0.15101313591003418,0.154433012008667,0.15184186935424804,0.15066003799438477,0.1647627353668213
models/resnest14.onnx,onnxruntime,100,16,0.3098740577697754,0.3216068744659424,0.31167982816696166,0.3025820255279541,0.38332486152648926
models/resnest26.onnx,onnxruntime,100,1,0.029504060745239258,0.03569793701171875,0.03106226921081543,0.027811050415039062,0.06942200660705566
models/resnest26.onnx,onnxruntime,100,2,0.06988310813903809,0.07269811630249023,0.07080404043197631,0.06936097145080566,0.10636186599731445
models/resnest26.onnx,onnxruntime,100,4,0.10405111312866211,0.1064748764038086,0.10456856012344361,0.10372591018676758,0.11367106437683105
models/resnest26.onnx,onnxruntime,100,8,0.20423221588134766,0.20937204360961914,0.20589311122894288,0.2033710479736328,0.24511480331420898
models/resnest26.onnx,onnxruntime,100,16,0.41321587562561035,0.4484422206878662,0.4199641108512878,0.40946412086486816,0.4649169445037842
models/resnest50.onnx,onnxruntime,100,1,0.042124032974243164,0.04263591766357422,0.042259745597839356,0.041993141174316406,0.043874263763427734
models/resnest50.onnx,onnxruntime,100,2,0.10638093948364258,0.10945272445678711,0.10715973615646363,0.10615825653076172,0.11434197425842285
models/resnest50.onnx,onnxruntime,100,4,0.15694618225097656,0.16468024253845215,0.15957353591918946,0.15561199188232422,0.20650386810302734
models/resnest50.onnx,onnxruntime,100,8,0.3070969581604004,0.31096911430358887,0.307784583568573,0.30557680130004883,0.3276188373565674
models/resnest50.onnx,onnxruntime,100,16,0.617027997970581,0.6289548873901367,0.6211594986915588,0.6154649257659912,0.6775157451629639
models/resnest269.onnx,onnxruntime,100,1,0.17817211151123047,0.18657875061035156,0.17966350078582763,0.1763169765472412,0.19791698455810547
models/resnest269.onnx,onnxruntime,100,2,0.45627498626708984,0.4896719455718994,0.4641969919204712,0.44796013832092285,0.5814619064331055
models/resnest269.onnx,onnxruntime,100,4,0.6515882015228271,0.6791157722473145,0.6587021255493164,0.6451621055603027,0.7310941219329834
models/resnest269.onnx,onnxruntime,100,8,1.2729218006134033,1.305009126663208,1.2796939706802368,1.2678542137145996,1.350557804107666
models/resnest269.onnx,onnxruntime,100,16,2.5678389072418213,2.589462995529175,2.5745942974090577,2.5538649559020996,2.746954917907715
