,query_types,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime
0,1.0,0.011361002922058105,0.00979304313659668,0.03750920295715332,0.010403335094451904,0.011668503284454346
1,2.0,0.8603769540786743,0.4367232322692871,1.6702349185943604,0.6397547125816345,0.8755480051040649
2,3.0,0.7161809206008911,0.6279349327087402,0.7491748332977295,0.677907407283783,0.7243078947067261
3,4.0,0.9962996244430542,0.8620457649230957,1.099961757659912,0.903587281703949,1.0701147317886353
4,5.0,2.4137643575668335,2.0742690563201904,2.8991007804870605,2.331920623779297,2.5854246616363525
5,6.0,4.7511831521987915,4.132030963897705,4.989735841751099,4.338246703147888,4.837802469730377
6,7.0,8.026337027549744,6.891491889953613,9.288471698760986,7.7128366231918335,8.111859917640686
7,8.0,8.62703537940979,7.187449932098389,9.198424100875854,8.058304369449615,9.030149757862091
8,9.0,11.65298056602478,10.796688079833984,14.922605991363525,11.373949944972992,12.263879239559174
9,10.0,16.5652414560318,12.648682832717896,26.631275177001953,14.905271291732788,17.214385986328125
10,11.0,21.809608936309814,14.618494987487793,28.8353168964386,19.07577806711197,26.169849574565887
11,12.0,37.57103490829468,26.128583192825317,43.25022006034851,27.736071825027466,40.70097863674164
12,13.0,34.06027102470398,26.8106951713562,51.05286979675293,31.854876458644867,41.73584061861038
13,14.0,46.398733496665955,29.52466607093811,77.43787908554077,38.19144308567047,54.90664607286453
14,15.0,60.97618854045868,37.971577882766724,76.42925596237183,50.51695317029953,65.9423451423645
15,16.0,67.10037505626678,54.81820726394653,81.08408308029175,56.88023316860199,77.61126607656479
16,17.0,103.04560816287994,75.3186719417572,119.54105806350708,95.18525606393814,108.32157915830612
17,18.0,129.54495978355408,104.89440083503723,152.71364212036133,115.295565366745,141.01451176404953
18,19.0,174.96145105361938,145.49588894844055,204.3299958705902,165.8892912864685,190.2196055650711
19,20.0,215.83199071884155,176.86132979393005,250.09745001792908,188.28692775964737,227.97867894172668
20,21.0,230.1030296087265,222.55734086036682,296.9983789920807,227.62917518615723,249.3106210231781
21,22.0,296.3144233226776,266.54103112220764,344.041362285614,284.0831892490387,326.0739200115204
22,23.0,422.0113911628723,249.20775890350342,482.71756887435913,380.11969262361526,445.6074268221855
23,24.0,457.0882580280304,321.2615599632263,519.2319121360779,438.1402028799057,481.8565943837166
24,25.0,522.9271552562714,489.0852360725403,561.0894720554352,506.30441588163376,539.8858162760735
25,26.0,643.7307369709015,520.7462031841278,754.9738187789917,592.7884610891342,667.6418209075928
26,27.0,810.6277309656143,757.4961001873016,865.0765721797943,777.6003023982048,838.1281720995903
