,model_variants,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime
0,5.0,0.2770729064941410,0.25777721405029300,0.34700798988342300,0.2596967816352840,0.31178826093673700
1,10.0,1.8803130388259900,0.8814442157745360,2.8714449405670200,1.0119770765304600,2.0461907386779800
2,15.0,1.3891355991363500,1.2310330867767300,1.6427116394043000,1.3416903614997900,1.460493266582490
3,20.0,1.5480399131774900,1.2402839660644500,1.8066718578338600,1.4155733585357700,1.6145212650299100
4,25.0,2.431167960166930,2.0905919075012200,2.907118082046510,2.354697287082670,2.5714516639709500
5,30.0,3.2330143451690700,2.4979419708252000,3.5183160305023200,3.0054197311401400,3.427042067050930
6,35.0,3.8927968740463300,3.120023012161260,4.45109486579895,3.660689115524290,4.066169738769530
7,40.0,3.612607955932620,2.842926025390630,3.7403299808502200,3.3725770711898800,3.676846981048580
8,45.0,3.640933036804200,3.4148130416870100,4.7624969482421900,3.4804813265800500,3.9388107657432600
9,50.0,5.0132869482040400,4.030921220779420,6.630727291107180,4.687930762767790,5.2161582708358800
10,55.0,5.365344405174260,3.109835147857670,6.4069929122924800,5.010456621646880,5.998929858207700
11,60.0,5.884830117225650,3.4911701679229700,7.294256925582890,5.64879047870636,6.354547381401060
12,65.0,7.396167993545530,4.257756948471070,9.67138671875,6.922729551792150,8.18091082572937
13,70.0,8.015914559364320,5.910224914550780,14.24427604675290,6.893701076507570,9.429332256317140
14,75.0,9.169365048408510,5.279784202575680,18.099889755249000,8.001386225223540,12.251513481140100
15,80.0,9.009249567985540,5.651760101318360,15.630330085754400,8.3288614153862,13.125474333763100
16,85.0,5.310193061828610,4.582345962524410,12.35427975654600,5.034741938114170,5.754768192768100
17,90.0,5.48369026184082,4.949916839599610,6.068634986877440,5.369047999382020,5.6372586488723800
18,95.0,6.2646238803863500,4.654354095458980,18.918902158737200,5.233287334442140,9.184176445007320
19,100.0,5.202256441116330,4.836181879043580,6.238130807876590,4.936566948890690,5.839176833629610
20,150.0,10.615970849990800,8.769982099533080,13.210203170776400,9.510908603668210,12.053499221801800
21,200.0,15.221733450889600,10.533658981323200,17.306062936782800,13.78300279378890,15.659336626529700
22,250.0,22.308019161224400,17.321864128112800,26.412258863449100,19.58258146047590,24.83844619989400
23,300.0,23.86329162120820,20.683501958847000,32.85742163658140,23.41744774580000,26.634381234645800
24,350.0,37.17523157596590,29.215367078781100,43.487690925598100,34.32312524318700,41.44301098585130
25,400.0,50.87159597873690,35.44588780403140,58.2793869972229,46.4942182302475,55.93839991092680
26,450.0,56.83797240257260,46.46323204040530,62.758224964141800,49.623820543289200,60.98317509889600
27,500.0,75.38766205310820,53.457995653152500,94.94495892524720,71.45320290327070,80.99900275468830
