,model_variants,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime,mean_runtime,clm_lower,clm_upper
0,5.0,0.2808340787887570,0.24190616607666000,0.3542520999908450,0.26218801736831700,0.3289749026298520,0.294453763961792,0.2775137494989710,0.3113937784246130
1,50.0,4.986433506011960,3.888986825942990,6.654559135437010,4.701250374317170,5.37598329782486,5.018904042243960,4.690095248425070,5.347712836062840
2,100.0,5.017804026603700,4.608227014541630,13.318051099777200,4.76896733045578,5.458236992359160,5.533487355709080,4.649386574347060,6.4175881370710900
3,150.0,11.289817571640000,6.826408863067630,13.708761215210000,9.857669711112980,11.863632619381000,10.942289519310000,10.168219945840800,11.716359092779200
4,200.0,15.495685696601900,10.969474077224700,19.477414846420300,13.251537501812000,15.829243123531300,14.918923330307000,13.964643284644100,15.873203375969900
5,250.0,22.27927827835080,15.630506038665800,30.660270929336500,19.95545518398290,24.70664793252950,22.29680508375170,20.51935996510470,24.07425020239870
6,300.0,25.62784504890440,21.53239607810970,38.430752992630000,24.007129192352300,29.65877002477650,27.102574694156600,25.07539443625250,29.129754952060800
7,350.0,36.94988811016080,27.15969705581670,43.80669689178470,32.30101364851000,39.38366186618810,36.328152811527300,33.98442056711310,38.67188505594150
8,400.0,46.04009544849400,34.722002029418900,58.039052963256800,42.8871328830719,51.4139558672905,47.05759656429290,44.172716361932600,49.9424767666532
9,450.0,54.442917346954300,44.36027908325200,62.33337378501890,47.84714502096180,58.99905562400820,53.355825746059400,50.41596801178790,56.29568348033100
,500.0,69.91671681404110,52.31447792053220,90.57451176643370,65.32746028900150,77.63570213317870,70.71609060764310,66.42156633814350,75.01061487714270
