,model_variants,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime
0,5.0,0.2770729064941406,0.25777721405029297,0.34700798988342285,0.2596967816352844,0.31178826093673706
1,10.0,1.8803130388259888,0.8814442157745361,2.8714449405670166,1.0119770765304565,2.0461907386779785
2,15.0,1.3891355991363525,1.2310330867767334,1.6427116394042969,1.3416903614997864,1.460493266582489
3,20.0,1.5480399131774902,1.2402839660644531,1.8066718578338623,1.4155733585357666,1.6145212650299072
4,25.0,2.431167960166931,2.0905919075012207,2.907118082046509,2.354697287082672,2.5714516639709473
5,30.0,3.2330143451690674,2.4979419708251953,3.5183160305023193,3.0054197311401367,3.427042067050934
6,35.0,3.8927968740463257,3.120023012161255,4.45109486579895,3.660689115524292,4.066169738769531
7,40.0,3.612607955932617,2.842926025390625,3.7403299808502197,3.3725770711898804,3.676846981048584
8,45.0,3.640933036804199,3.4148130416870117,4.7624969482421875,3.4804813265800476,3.9388107657432556
9,50.0,5.0132869482040405,4.030921220779419,6.630727291107178,4.687930762767792,5.2161582708358765
10,55.0,5.365344405174255,3.109835147857666,6.4069929122924805,5.010456621646881,5.998929858207703
11,60.0,5.884830117225647,3.4911701679229736,7.294256925582886,5.64879047870636,6.354547381401062
12,65.0,7.396167993545532,4.257756948471069,9.67138671875,6.922729551792145,8.18091082572937
13,70.0,8.015914559364319,5.910224914550781,14.24427604675293,6.893701076507568,9.429332256317139
14,75.0,9.169365048408508,5.279784202575684,18.099889755249023,8.001386225223541,12.251513481140137
15,80.0,9.009249567985535,5.651760101318359,15.630330085754395,8.3288614153862,13.125474333763123
16,85.0,5.310193061828613,4.582345962524414,12.35427975654602,5.034741938114166,5.754768192768097
17,90.0,5.48369026184082,4.949916839599609,6.068634986877441,5.369047999382019,5.6372586488723755
18,95.0,6.2646238803863525,4.654354095458984,18.918902158737183,5.233287334442139,9.184176445007324
19,100.0,5.202256441116333,4.836181879043579,6.238130807876587,4.936566948890686,5.839176833629608
