,model_variants,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime,mean_runtime,clm_lower,clm_upper
0,50.0,5.0147528648376465,5.0147528648376465,5.0147528648376465,5.0147528648376465,5.0147528648376465,5.0147528648376465,,
1,100.0,4.912271022796631,4.912271022796631,4.912271022796631,4.912271022796631,4.912271022796631,4.912271022796631,,
2,150.0,12.918821811676025,12.918821811676025,12.918821811676025,12.918821811676025,12.918821811676025,12.918821811676025,,
3,200.0,16.45023274421692,16.45023274421692,16.45023274421692,16.45023274421692,16.45023274421692,16.45023274421692,,
4,250.0,25.85063099861145,25.85063099861145,25.85063099861145,25.85063099861145,25.85063099861145,25.85063099861145,,
5,300.0,24.281572818756104,24.281572818756104,24.281572818756104,24.281572818756104,24.281572818756104,24.281572818756104,,
6,350.0,44.2950336933136,44.2950336933136,44.2950336933136,44.2950336933136,44.2950336933136,44.2950336933136,,
7,400.0,53.73007583618164,53.73007583618164,53.73007583618164,53.73007583618164,53.73007583618164,53.73007583618164,,
8,450.0,44.09224486351013,44.09224486351013,44.09224486351013,44.09224486351013,44.09224486351013,44.09224486351013,,
9,500.0,79.9114990234375,79.9114990234375,79.9114990234375,79.9114990234375,79.9114990234375,79.9114990234375,,
